COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
89,4173.33,4177.44,4180.51,4182.56,4184.1,4184.62,4183.08,4184.62,4186.67,4188.72,4236.92,4941.54,4174.87,4185.64,2044,2037,88.616,0,0,0,0,
90,4188.21,4185.64,4187.69,4186.15,4180,4178.97,4178.46,4182.05,4186.15,4190.77,4241.54,4950.26,4185.13,4194.87,2045,2037,88.623,0,0,0,0,
91,4183.59,4180,4182.56,4184.1,4182.56,4178.46,4181.54,4185.13,4191.28,4190.77,4240.51,4948.21,4185.13,4190.77,2044,2037,88.632,0,0,0,0,
92,4180.51,4178.46,4182.56,4185.64,4184.1,4182.56,4183.08,4181.03,4184.62,4188.72,4238.46,4948.72,4176.92,4186.15,2045,2037,88.639,0,0,0,0,
93,4193.85,4190.77,4184.1,4181.54,4175.9,4176.92,4170.26,4182.56,4187.18,4191.28,4241.03,4945.13,4191.28,4195.9,2044,2037,88.647,0,0,0,0,
94,4173.85,4180,4186.15,4183.08,4182.56,4186.67,4184.1,4186.15,4186.67,4189.74,4238.97,4944.1,4178.46,4184.62,2044,2037,88.655,0,0,0,0,
95,4190.77,4185.64,4191.28,4185.64,4179.49,4184.1,4182.05,4183.59,4188.21,4190.77,4243.59,4952.82,4188.72,4190.26,2045,2038,88.663,0,0,0,0,
96,4184.62,4183.08,4184.62,4179.49,4178.97,4177.95,4177.95,4184.1,4193.33,4192.82,4239.49,4944.62,4186.67,4188.72,2046,2039,88.67,0,0,0,0,
97,4173.33,4177.44,4187.18,4185.64,4183.08,4184.1,4181.03,4181.03,4186.67,4190.26,4240.51,4948.21,4176.92,4186.15,2044,2037,88.678,0,0,0,0,
98,4193.85,4186.15,4185.13,4184.62,4177.44,4177.95,4175.9,4185.64,4189.23,4190.77,4245.64,4952.82,4196.41,4197.44,2044,2037,88.686,0,0,0,0,
99,4174.87,4175.38,4177.44,4183.08,4184.62,4179.49,4188.72,4186.67,4187.69,4190.26,4238.97,4945.64,4177.95,4185.64,2045,2037,88.694,0,0,0,0,
100,4186.67,4185.64,4182.56,4186.67,4183.59,4183.08,4181.03,4178.97,4186.67,4192.31,4243.08,4951.28,4182.56,4191.79,2045,2038,88.702,0,0,0,0,
101,4189.23,4186.67,4181.54,4183.08,4178.97,4182.56,4177.44,4183.59,4190.77,4191.28,4240,4949.23,4190.26,4191.28,2044,2039,88.71,0,0,0,0,
102,4176.92,4176.41,4185.13,4188.21,4183.59,4181.54,4184.62,4187.18,4185.64,4189.23,4237.44,4949.23,4175.9,4183.59,2043,2037,88.718,0,0,0,0,
103,4195.38,4185.13,4186.15,4184.62,4179.49,4175.38,4174.36,4186.67,4190.77,4192.31,4244.1,4949.23,4191.28,4193.33,2043,2038,88.727,0,0,0,0,
104,4176.92,4178.97,4182.05,4181.03,4183.08,4182.56,4185.64,4183.59,4188.21,4188.21,4237.44,4944.62,4180.51,4183.08,2045,2037,88.734,0,0,0,0,
105,4183.59,4183.59,4185.64,4184.62,4182.56,4182.56,4182.05,4181.03,4184.62,4185.64,4240.51,4951.28,4184.1,4190.26,2044,2036,88.741,0,0,0,0,
106,4188.72,4181.54,4182.56,4181.03,4181.03,4178.46,4175.38,4184.62,4188.72,4191.79,4241.54,4946.15,4191.28,4194.36,2044,2038,88.749,0,0,0,0,
107,4173.85,4172.82,4186.15,4185.64,4184.1,4182.56,4186.67,4182.05,4183.08,4191.79,4239.49,4944.62,4178.46,4185.13,2044,2037,88.758,0,0,0,0,
108,4192.31,4187.69,4186.67,4185.13,4176.92,4177.44,4177.44,4183.08,4186.67,4192.82,4244.62,4947.69,4195.38,4195.9,2044,2037,88.765,0,0,0,0,
109,4177.95,4179.49,4180,4182.05,4182.05,4181.54,4182.05,4186.67,4186.67,4192.82,4237.95,4944.62,4181.03,4187.18,2044,2038,88.773,0,0,0,0,
110,4184.62,4181.54,4185.64,4185.13,4182.05,4181.54,4177.44,4182.56,4182.56,4191.79,4240,4950.26,4179.49,4187.69,2045,2038,88.781,0,0,0,0,
111,4189.23,4188.72,4182.56,4181.54,4177.95,4177.44,4172.31,4185.13,4188.72,4195.9,4241.54,4945.13,4192.31,4191.79,2045,2038,88.789,0,0,0,0,
